Country,Country Name,Country RegionId,Country Short Name,Country Table Name,Country Long Name,Country 2-alpha code,Country Currency Unit,Country Special Notes,Country Region,Country Income Group,Country WB-2 code,Country National accounts base year,Country National accounts reference year,Country SNA price valuation,Country Lending category,Country Other groups,Country System of National Accounts,Country Alternative conversion factor,Country PPP survey year,Country Balance of Payments Manual in use,Country External debt Reporting status,Country System of trade,Country Government Accounting concept,Country IMF data dissemination standard,Country Latest population census,Country Latest household survey,Country Source of most recent Income and expenditure data,Country Vital registration complete,Country Latest agricultural census,Country Latest industrial data,Country Latest trade data,Country Latest water withdrawal data,Series,Series Name,Series Topic,Series Indicator Name,Series Short definition,Series Long definition,Series Unit of measure,Series Periodicity,Series Base Period,Series Aggregation method,Series Limitations and exceptions,Series Notes from original source,Series General comments,Series Source,Series Statistical concept and methodology,Series Development relevance,Series Related source links,Series License Type,Scale,Units,2015,2012,2011,2010,2009,2008,2005,2000,1990,2014,2013,2007,2006,2004,2003,2002,2001,1999,1998,1997,1994,1993,1995,1996,1992,1991
CSS,Caribbean small states,-,Caribbean small states,Caribbean small states,Caribbean small states,S3,-,"Caribbean small states aggregate. Includes Antigua and Barbuda, The Bahamas, Barbados, Belize, Guyana, Suriname, Dominica, Grenada, Jamaica, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, and Trinidad and Tobago.",-,-,S3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",12.4604507811833,13.4466005617787,13.7822667037815,14.1232398806271,14.4002906173315,14.7143261074458,15.5912133273153,17.4394461576607,21.0810962665327,12.7993941817625,13.1428232060136,15.0226352585606,15.3178432490027,15.9336350759512,16.2798752277014,16.6617595041586,17.0439690887794,17.8445642551893,18.2128040761421,18.5852966650627,19.6430358916158,20.0460105750535,19.2502384497529,18.9279287955059,20.3803793540914,20.7267580938919
CEB,Central Europe and the Baltics,-,Central Europe and the Baltics,Central Europe and the Baltics,Central Europe and the Baltics,B8,-,Central Europe and the Baltics aggregate.,-,-,B8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",3.73716312629832,4.17353982200276,4.36509980935659,4.61787482385226,4.89427392708814,5.21327351673885,6.30530074982997,7.78689977404982,11.6673443951594,3.88018430131729,4.00560824184157,5.54966667380394,5.93205996532489,6.66381345181363,6.99335695009402,7.25654248064563,7.48072948622568,8.07665761285386,8.46995002183061,8.96790462255324,10.6945876290695,11.0269264519631,10.1094654994578,9.52999724846531,11.2289522194446,11.4421146958341
EAS,East Asia & Pacific (all income levels),-,East Asia & Pacific (all income levels),East Asia & Pacific (all income levels),East Asia & Pacific (all income levels),Z4,-,East Asia and Pacific regional aggregate (including high-income economies).,-,-,Z4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",8.54936607163367,9.87713860986142,10.4082300374493,11.013704068045,11.7221669263754,12.4636161585642,15.0839649786095,19.9924280044767,27.5861794097629,8.93455017225377,9.34375787006294,13.2703894431345,14.1373953278514,16.083335094781,17.1218606584543,18.1303334681667,19.1674803529832,20.7872138383294,21.6425128853774,22.5143863472016,25.4592514936748,26.2341997469641,24.5055650906965,23.5260490781162,26.8894631148762,27.3438483846424
EAP,East Asia & Pacific (developing only),-,East Asia & Pacific (developing only),East Asia & Pacific,East Asia & Pacific (developing only),4E,-,East Asia and Pacific regional aggregate (does not include high-income economies).,-,-,4E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",9,10.4,11,11.6,12.3,13.1,15.8,21.3,29.1,9.4,9.9,13.9,14.8,16.9,18.1,19.2,20.4,22.2,23.1,24,26.9,27.7,25.9,25,28.4,28.9
EMU,Euro area,-,Euro area,Euro area,Euro area,XC,-,Euro area aggregate.,-,-,XC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",2.29406042404103,2.45589582588827,2.49111509603304,2.53394858562503,2.61060252643058,2.6286658830661,2.87659678543369,3.40233583445821,5.29963998493159,2.35378459097126,2.40548330229201,2.69495371814443,2.79288575142963,2.98639749227478,3.10236267884506,3.20978873437938,3.28226134098307,3.5136453016686,3.67807001058518,3.85083925454051,4.47715292384674,4.69924842281731,4.25248726370547,4.06243789788329,4.92863438395516,5.14034334850609
ECS,Europe & Central Asia (all income levels),-,Europe & Central Asia (all income levels),Europe & Central Asia (all income levels),Europe & Central Asia (all income levels),Z7,-,Europe and Central Asia regional aggregate (including high-income economies).,-,-,Z7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",5.9630393648582,6.70195259718933,6.95437613991267,7.22819663315452,7.52780861413178,7.84313335340358,8.9223839849024,11.1687516426458,14.7710054009471,6.18033100639204,6.43956833264519,8.1753109919713,8.52865773090304,9.33936091130662,9.82595285702663,10.2743107917961,10.7081076127502,11.6280120190521,12.0786796794437,12.5270443327001,13.7657716729716,14.0500452920911,13.4026036606935,12.9878135842468,14.2773068993646,14.5230460665331
ECA,Europe & Central Asia (developing only),-,Europe & Central Asia (developing only),Europe & Central Asia,Europe & Central Asia (developing only),7E,-,Europe and Central Asia regional aggregate (does not include high-income economies).,-,-,7E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",10.7,11.9,12.4,12.9,13.4,14.1,16.2,19.9,24.6,11,11.5,14.8,15.5,16.9,17.7,18.5,19.1,20.7,21.4,22.2,23.8,24,23.4,22.9,24.2,24.3
EUU,European Union,-,European Union,European Union,European Union,EU,-,European Union aggregate.,-,-,EU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",2.55638596824831,2.80679342325297,2.87947766512087,2.97165054607178,3.08704913465342,3.1743961654474,3.57549536114585,4.23780631815312,6.60455629202066,2.63784482656034,2.72591333233881,3.29407924225883,3.44048761995442,3.71019387949652,3.85966676466011,3.97798687153714,4.08387318119646,4.37258940080315,4.58095123798395,4.80044573458535,5.64859442082555,5.89723887752062,5.35003709316754,5.07891654094132,6.14207718838166,6.37850969604418
FCS,Fragile and conflict affected situations,-,Fragile and conflict affected situations,Fragile and conflict affected situations,Fragile situations,F1,-,"Fragile situations aggregate. Note:  Countries with fragile situations are primarily International Development Association-eligible countries and nonmember or inactive countries and territories with a 3.2 or lower harmonized average of the World Bank's Country Policy and Institutional Assessment rating and the corresponding rating by a regional development bank, or that have had a UN or regional peacebuilding and political mission (for example by the African Union, European Union, or Organization of American States) or peacekeeping mission (for example, by the African Union, European Union, North Atlantic Treaty Organization, or Organization of American States) during the last three years.  This definition is pursuant to an agreement between the World Bank and other multilateral development banks at the start of the International Development Association 15 round in 2007. The list of countries and territories with fragile situations  is imperfect and used here to reflect a complex concept. The World Bank continues to work with partners and client countries to refine the concept.",-,-,F1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",28.449320886872,30.1397194051674,30.7269619596129,31.3604233207018,31.9162893308529,32.5856020083649,34.4814253224476,37.444443982429,42.6522295813427,28.999479848129,29.57993401942,33.2007143323584,33.8362346072844,35.1344140717837,35.7197024375798,36.290042006725,36.8741420557137,38.0077482263803,38.5540481751121,39.1398939186323,40.5612879614859,41.0260418207762,40.105728990533,39.6154224372415,41.5267614286768,42.0680720230434
HPC,Heavily indebted poor countries (HIPC),-,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC),XE,-,Heavily indebted poor countries aggregate.,-,-,XE,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SH.DYN.NMRT,"Mortality rate, neonatal (per 1,000 live births)",Health: Mortality,"Mortality rate, neonatal (per 1,000 live births)",-,"Neonatal mortality rate is the number of neonates dying before reaching 28 days of age, per 1,000 live births in a given year.",-,Annual,-,Weighted average,"Complete vital registration systems are fairly uncommon in developing countries. Thus estimates must be obtained from sample surveys or derived by applying indirect estimation techniques to registration, census, or survey data. Survey data are subject to recall error, and surveys estimating infant/child deaths require large samples because households in which a birth has occurred during a given year cannot ordinarily be preselected for sampling. Indirect estimates rely on model life tables that may be inappropriate for the population concerned. Extrapolations based on outdated surveys may not be reliable for monitoring changes in health status or for comparative analytical work.",-,-,"Estimates developed by the UN Inter-agency Group for Child Mortality Estimation (UNICEF, WHO, World Bank, UN DESA Population Division) at www.childmortality.org.","The main sources of mortality data are vital registration systems and direct or indirect estimates based on sample surveys or censuses. A ""complete"" vital registration system - covering at least 90 percent of vital events in the population - is the best source of age-specific mortality data.
Estimates of neonatal, infant, and under-five mortality tend to vary by source and method for a given time and place. Years for available estimates also vary by country, making comparison across countries and over time difficult. To make neonatal, infant, and under-five mortality estimates comparable and to ensure consistency across estimates by different agencies, the United Nations Inter-agency Group for Child Mortality Estimation (IGME), which comprises the United Nations Children's Fund (UNICEF), the World Health Organization (WHO), the United Nations Population Division, the World Bank, and other universities and research institutes, developed and adopted a statistical method that uses all available information to reconcile differences. The method uses statistical models to obtain a best estimate trend line by fitting a country-specific local regression model of mortality rates against their reference dates.
Neonatal, infant, and under-five mortality rates are higher for boys than for girls in countries in which parental gender preferences are insignificant. Under-five mortality rates capture the effect of gender discrimination better than neonatal and infant mortality rates do. Where female child mortality is higher, girls probably have unequal access to resources.","Mortality rates for different age groups (infants, children, and adults) and overall mortality indicators (life expectancy at birth or survival to a given age) are important indicators of health status in a country. Because data on the incidence and preva",-,Open,units,"per 1,000 live births",27.2326599334115,29.1765099448412,29.9154144238962,30.7052297964659,31.4874250675341,32.3554014955088,35.2044485595125,40.2038955377962,47.3139614113365,27.8359019552335,28.4802604786552,33.2696194696934,34.2162519939945,36.2236813778549,37.2254915817254,38.2302704089756,39.2303779544513,41.1308938834087,41.9909914594357,42.8101300189089,44.767646010279,45.3369354326689,44.1740148325098,43.5038097552274,45.9656657429719,46.6158196762568
